section,parameter,spearman_corr_with_expectancy,abs_spearman_corr,grouped_expectancy_spread
sensitivity,confirmation_bars,-0.7256699900541159,0.7256699900541159,0.0006705389757215733
sensitivity,vol_exit_pct_rank_threshold,-0.3908412121957444,0.3908412121957444,0.0005131746191863822
sensitivity,extension_max_holding_bars,0.3103661468591873,0.3103661468591873,0.0002786569000586724
sensitivity,winner_extension_enabled,0.20031767399053269,0.20031767399053269,0.00018967060069063717
sensitivity,vol_compression_max_pct,0.19890583072384507,0.19890583072384507,0.00021857887946812474
sensitivity,high_vol_cooldown_mult,0.14342767252898445,0.14342767252898445,0.0004140566421454706
sensitivity,max_holding_bars,0.13763909576496827,0.13763909576496827,0.00018296476068631033
sensitivity,extension_stop_multiplier,-0.10496056087082846,0.10496056087082846,0.0002179185409083404
sensitivity,velocity_lookback,0.0886818897255617,0.0886818897255617,0.00011531147050861062
sensitivity,min_bars_between_trades,-0.07675069144705199,0.07675069144705199,9.951432010755099e-05
sensitivity,lookback,0.0741472201522442,0.0741472201522442,0.00026659044657712536
sensitivity,velocity_threshold,-0.0696740763791252,0.0696740763791252,0.00026847196937272553
sensitivity,expansion_threshold,-0.06532098064908674,0.06532098064908674,0.00013829785793496906
sensitivity,trailing_stop_atr_mult,0.06146071045988617,0.06146071045988617,0.00038039904381991
sensitivity,breakout_strength_atr_mult,-0.05321739804814376,0.05321739804814376,0.0003385792303123224
sensitivity,partial_take_profit_rr,-0.03843998573937485,0.03843998573937485,0.0006877964544000493
sensitivity,partial_take_profit_size,0.03503251040385888,0.03503251040385888,0.00019125377235883675
sensitivity,retest_entry_mode,0.03406587916126464,0.03406587916126464,5.432419623146428e-05
sensitivity,extension_trigger_atr_multiple,-0.03306471277013205,0.03306471277013205,0.00028046621740171045
sensitivity,dynamic_cooldown_by_vol,-0.009084234443003904,0.009084234443003904,5.2266794652598746e-05
sensitivity,expansion_lookback,0.0,0.0,0.0
sensitivity,vol_contraction_exit_mult,0.0,0.0,0.0
sensitivity,vol_contraction_window,0.0,0.0,0.0
