feature,threshold,direction,reject_rate,kept_trades,E_all,E_kept,lift,loser_removal_rate,winner_loss_rate,rule_good
early_mfe,0.0006492697273771117,lt,0.38461538461538464,16,0.001019608201657542,0.0016187599621239651,0.0005991517604664231,0.5833333333333334,0.21428571428571427,True
early_mfe,0.00040570314312026774,lt,0.3076923076923077,18,0.001019608201657542,0.0014397919569231954,0.0004201837552656534,0.5,0.14285714285714285,True
early_return_3,-0.00024086979360338212,lt,0.3076923076923077,18,0.001019608201657542,0.0014007377524789364,0.00038112955082139437,0.4166666666666667,0.21428571428571427,True
early_mfe,0.00024158843026180567,lt,0.19230769230769232,21,0.001019608201657542,0.0013884179691710265,0.0003688097675134845,0.3333333333333333,0.07142857142857142,True
early_mae,0.0011769703657027398,gt,0.19230769230769232,21,0.001019608201657542,0.0013656441186498311,0.00034603591699228914,0.3333333333333333,0.07142857142857142,True
early_range_expansion,1.6195590850151227,lt,0.38461538461538464,16,0.001019608201657542,0.0012998139158167136,0.00028020571415917164,0.5,0.2857142857142857,True
early_return_3,0.0001508833275107868,lt,0.38461538461538464,16,0.001019608201657542,0.0012523586232653832,0.0002327504216078412,0.5,0.2857142857142857,True
early_return_3,-0.00039273765475167366,lt,0.19230769230769232,21,0.001019608201657542,0.0012350263019847338,0.00021541810032719186,0.3333333333333333,0.07142857142857142,True
early_mae,0.00027094595087548575,lt,0.3076923076923077,18,0.001019608201657542,0.0011576210275837037,0.00013801282592616174,0.3333333333333333,0.2857142857142857,True
early_range_expansion,1.5637967914894548,lt,0.3076923076923077,18,0.001019608201657542,0.0011387234807259678,0.00011911527906842585,0.3333333333333333,0.2857142857142857,True
early_mae,0.0005850581970555465,gt,0.38461538461538464,16,0.001019608201657542,0.0010868769156088293,6.72687139512873e-05,0.5,0.2857142857142857,True
early_mfe,0.0016587576415185564,lt,0.7692307692307693,6,0.001019608201657542,0.003092170022227728,0.002072561820570186,1.0,0.5714285714285714,False
early_mfe,0.001344019512714257,lt,0.6923076923076923,8,0.001019608201657542,0.0027145012201532726,0.0016948930184957306,0.9166666666666666,0.5,False
early_return_3,0.001121290867747593,lt,0.7692307692307693,6,0.001019608201657542,0.002449319896319468,0.001429711694661926,0.9166666666666666,0.6428571428571429,False
early_range_expansion,2.1442622586757225,lt,0.7692307692307693,6,0.001019608201657542,0.002380686048419348,0.0013610778467618059,0.8333333333333334,0.7142857142857143,False
early_range_expansion,1.9175697347718823,lt,0.6923076923076923,8,0.001019608201657542,0.0020278938614604735,0.0010082856598029315,0.8333333333333334,0.5714285714285714,False
early_mfe,0.0011141182767642748,lt,0.5769230769230769,11,0.001019608201657542,0.0019457030572216432,0.0009260948555641013,0.75,0.42857142857142855,False
early_range_expansion,1.7443765790731374,lt,0.5769230769230769,11,0.001019608201657542,0.0019085186591918796,0.0008889104575343376,0.75,0.42857142857142855,False
early_return_3,0.0006783877720493159,lt,0.6923076923076923,8,0.001019608201657542,0.0018645357487932102,0.0008449275471356682,0.8333333333333334,0.5714285714285714,False
early_mfe,0.0009810548311071326,lt,0.5,13,0.001019608201657542,0.0017066513976308141,0.0006870431959732721,0.6666666666666666,0.35714285714285715,False
early_return_3,0.00034326993668098993,lt,0.5769230769230769,11,0.001019608201657542,0.0016027584427529514,0.0005831502410954094,0.6666666666666666,0.5,False
early_return_1,-0.00042987988154408185,gt,0.7692307692307693,6,0.001019608201657542,0.0015499763012535867,0.0005303680995960448,0.75,0.7857142857142857,False
early_range_expansion,1.6446718407144383,lt,0.5,13,0.001019608201657542,0.0015147374874187288,0.0004951292857611868,0.5833333333333334,0.42857142857142855,False
early_return_1,-0.00022332702567584573,gt,0.6923076923076923,8,0.001019608201657542,0.0015086633213412727,0.0004890551196837308,0.6666666666666666,0.7142857142857143,False
early_return_1,0.0006703458010844932,lt,0.6923076923076923,8,0.001019608201657542,0.0015010051203670897,0.0004813969187095477,0.8333333333333334,0.5714285714285714,False
early_return_3,0.0003095423975598144,lt,0.5,13,0.001019608201657542,0.0013685176557449383,0.00034890945408739627,0.5833333333333334,0.42857142857142855,False
early_return_1,0.0008388802259806649,lt,0.7692307692307693,6,0.001019608201657542,0.0013176012698470074,0.00029799306818946544,0.8333333333333334,0.7142857142857143,False
early_return_1,0.00042215832251035756,lt,0.5769230769230769,11,0.001019608201657542,0.0012345436789091317,0.00021493547725158968,0.75,0.42857142857142855,False
early_return_1,0.00015539784832679926,lt,0.5,13,0.001019608201657542,0.0011540509992550663,0.0001344427975975243,0.6666666666666666,0.35714285714285715,False
early_range_expansion,1.4868458020083664,lt,0.19230769230769232,21,0.001019608201657542,0.0011410120346962347,0.00012140383303869268,0.25,0.14285714285714285,False
early_mae,0.0007986805918837987,lt,0.6923076923076923,8,0.001019608201657542,0.0011198237172881339,0.0001002155156305919,0.5833333333333334,0.7857142857142857,False
early_mae,0.00031382362383050523,gt,0.5769230769230769,11,0.001019608201657542,0.0011187053429780839,9.909714132054189e-05,0.6666666666666666,0.5,False
early_mae,0.0004303155326774788,gt,0.5,13,0.001019608201657542,0.0010587171926404611,3.910899098291914e-05,0.5833333333333334,0.42857142857142855,False
early_return_1,-7.65069734609547e-05,gt,0.5769230769230769,11,0.001019608201657542,0.0010483929537602364,2.8784752102694374e-05,0.4166666666666667,0.7142857142857143,False
early_mae,0.0002315408883053341,lt,0.19230769230769232,21,0.001019608201657542,0.0010414528142082262,2.184461255068425e-05,0.16666666666666666,0.21428571428571427,False
early_return_1,-0.00042987988154408185,lt,0.19230769230769232,21,0.001019608201657542,0.0009922600782341043,-2.734812342343766e-05,0.25,0.14285714285714285,False
early_mae,0.0004303155326774788,lt,0.5,13,0.001019608201657542,0.0009804992106746226,-3.910899098291936e-05,0.4166666666666667,0.5714285714285714,False
early_mae,0.0007986805918837987,gt,0.3076923076923077,18,0.001019608201657542,0.00097506797248839,-4.4540229169152e-05,0.4166666666666667,0.21428571428571427,False
early_return_1,-7.65069734609547e-05,lt,0.38461538461538464,16,0.001019608201657542,0.0009267181719833432,-9.289002967419874e-05,0.5,0.2857142857142857,False
early_mae,0.0011769703657027398,lt,0.7692307692307693,6,0.001019608201657542,0.0009135139218272416,-0.00010609427983030036,0.6666666666666666,0.8571428571428571,False
early_mae,0.00031382362383050523,lt,0.38461538461538464,16,0.001019608201657542,0.000898134393810703,-0.00012147380784683899,0.3333333333333333,0.42857142857142855,False
early_return_1,0.0008388802259806649,gt,0.19230769230769232,21,0.001019608201657542,0.0008856426879896049,-0.00013396551366793707,0.08333333333333333,0.2857142857142857,False
early_return_1,0.00015539784832679926,gt,0.5,13,0.001019608201657542,0.0008851654040600178,-0.00013444279759752418,0.3333333333333333,0.6428571428571429,False
early_mae,0.0005850581970555465,lt,0.5769230769230769,11,0.001019608201657542,0.0008714340176349006,-0.00014817418402264136,0.5,0.6428571428571429,False
early_range_expansion,2.1442622586757225,gt,0.19230769230769232,21,0.001019608201657542,0.0008399153621105859,-0.0001796928395469561,0.16666666666666666,0.21428571428571427,False
