symbol,fold_id,split,model,entry_time,predicted_score,actual_return,actual_win,allow_trade,threshold
AUDUSD,0,test,logistic_primary,2020-04-08 00:00:00+00:00,0.6441303293281685,0.0029060557308889625,1,1,0.5726716877603443
AUDUSD,0,test,logistic_primary,2020-04-15 03:00:00+00:00,0.2191635876518668,-0.0012792438384800096,0,1,0.5726716877603443
AUDUSD,0,test,logistic_primary,2020-04-22 10:00:00+00:00,0.5647318386972527,-0.0013318960197536032,0,1,0.5726716877603443
AUDUSD,0,test,logistic_primary,2020-04-26 05:00:00+00:00,0.12968568857071086,0.000426403625331734,1,1,0.5726716877603443
AUDUSD,0,train,logistic_primary,2020-01-06 18:00:00+00:00,0.23265932565579264,-0.0007328717403851824,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-06 18:00:00+00:00,0.23265932565579264,-0.0007328717403851824,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-10 23:00:00+00:00,0.2207033934140666,-0.0006643369988206414,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-10 23:00:00+00:00,0.2207033934140666,-0.0006643369988206414,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-12 17:00:00+00:00,0.8545256592222019,0.0013809790640865018,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-12 17:00:00+00:00,0.8545256592222019,0.0013809790640865018,1,1,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-27 11:00:00+00:00,0.17190110302080436,-0.0012818626445996349,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-27 11:00:00+00:00,0.17190110302080436,-0.0012818626445996349,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-30 01:00:00+00:00,0.8962752411170126,0.002543554597077208,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-01-30 01:00:00+00:00,0.8962752411170126,0.002543554597077208,1,1,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-06 08:00:00+00:00,0.1329232782758924,-0.0016369667958339327,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-06 08:00:00+00:00,0.1329232782758924,-0.0016369667958339327,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-08 14:00:00+00:00,0.2432056257744359,-0.00020738652999920375,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-08 14:00:00+00:00,0.2432056257744359,-0.00020738652999920375,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-10 05:00:00+00:00,0.6260477750837612,0.002590975791489686,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-10 05:00:00+00:00,0.6260477750837612,0.002590975791489686,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-23 06:00:00+00:00,0.6455299392931034,0.0009820293292131911,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-02-23 06:00:00+00:00,0.6455299392931034,0.0009820293292131911,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-02 16:00:00+00:00,0.8143874884036113,0.005823493558660947,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-02 16:00:00+00:00,0.8143874884036113,0.005823493558660947,1,1,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-05 21:00:00+00:00,0.19953788164143663,-0.0007459063193576863,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-05 21:00:00+00:00,0.19953788164143663,-0.0007459063193576863,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-10 17:00:00+00:00,0.7769533570227054,0.012496134022247678,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-10 17:00:00+00:00,0.7769533570227054,0.012496134022247678,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-14 01:00:00+00:00,0.24077235221495752,-9.338707388108474e-05,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-14 01:00:00+00:00,0.24077235221495752,-9.338707388108474e-05,0,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-16 07:00:00+00:00,0.8851491972459037,0.004058601390080169,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-16 07:00:00+00:00,0.8851491972459037,0.004058601390080169,1,1,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-24 04:00:00+00:00,0.7215931325876298,0.002442880292485167,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-24 04:00:00+00:00,0.7215931325876298,0.002442880292485167,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-27 00:00:00+00:00,0.9252699463508048,0.00013246262169773221,1,0,0.7956704227131584
AUDUSD,0,train,logistic_primary,2020-03-27 00:00:00+00:00,0.9252699463508048,0.00013246262169773221,1,1,0.7956704227131584
AUDUSD,1,train,logistic_primary,2020-01-27 11:00:00+00:00,0.17302104987007172,-0.0012818626445996349,0,0,
AUDUSD,1,train,logistic_primary,2020-01-30 01:00:00+00:00,0.9702612201365234,0.002543554597077208,1,0,
AUDUSD,1,train,logistic_primary,2020-02-06 08:00:00+00:00,0.1769864417389412,-0.0016369667958339327,0,0,
AUDUSD,1,train,logistic_primary,2020-02-08 14:00:00+00:00,0.20999996928811376,-0.00020738652999920375,0,0,
AUDUSD,1,train,logistic_primary,2020-02-10 05:00:00+00:00,0.5994309174859201,0.002590975791489686,1,0,
AUDUSD,1,train,logistic_primary,2020-02-23 06:00:00+00:00,0.854856225429004,0.0009820293292131911,1,0,
AUDUSD,1,train,logistic_primary,2020-03-02 16:00:00+00:00,0.9718502063371354,0.005823493558660947,1,0,
AUDUSD,1,train,logistic_primary,2020-03-05 21:00:00+00:00,0.2711521329559131,-0.0007459063193576863,0,0,
AUDUSD,1,train,logistic_primary,2020-03-10 17:00:00+00:00,0.6873134644600013,0.012496134022247678,1,0,
AUDUSD,1,train,logistic_primary,2020-03-14 01:00:00+00:00,0.13001077136839043,-9.338707388108474e-05,0,0,
AUDUSD,1,train,logistic_primary,2020-03-16 07:00:00+00:00,0.8401568509328412,0.004058601390080169,1,0,
AUDUSD,1,train,logistic_primary,2020-03-24 04:00:00+00:00,0.8087078317037031,0.002442880292485167,1,0,
AUDUSD,1,train,logistic_primary,2020-03-27 00:00:00+00:00,0.9027673948448308,0.00013246262169773221,1,0,
AUDUSD,1,train,logistic_primary,2020-04-08 00:00:00+00:00,0.7726465015264531,0.0029060557308889625,1,0,
AUDUSD,1,train,logistic_primary,2020-04-15 03:00:00+00:00,0.09093440422117151,-0.0012792438384800096,0,0,
AUDUSD,1,train,logistic_primary,2020-04-22 10:00:00+00:00,0.32653290941068114,-0.0013318960197536032,0,0,
AUDUSD,1,train,logistic_primary,2020-04-26 05:00:00+00:00,0.6228412375280242,0.000426403625331734,1,0,
AUDUSD,2,test,logistic_primary,2020-05-18 20:00:00+00:00,0.08731767093658065,0.000247396567090258,1,1,0.6971352704046334
AUDUSD,2,test,logistic_primary,2020-05-21 20:00:00+00:00,0.14908790219077128,-0.0012772470002602341,0,1,0.6971352704046334
AUDUSD,2,test,logistic_primary,2020-05-26 19:00:00+00:00,0.5106437423750766,0.0029926299141301684,1,1,0.6971352704046334
AUDUSD,2,test,logistic_primary,2020-05-31 05:00:00+00:00,0.7437581524120227,0.0032061960946881797,1,1,0.6971352704046334
AUDUSD,2,test,logistic_primary,2020-06-02 12:00:00+00:00,0.9283617653988534,-0.0007568951102267128,0,1,0.6971352704046334
AUDUSD,2,train,logistic_primary,2020-02-23 06:00:00+00:00,0.767150224384754,0.0009820293292131911,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-02-23 06:00:00+00:00,0.767150224384754,0.0009820293292131911,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-02 16:00:00+00:00,0.9448463251880965,0.005823493558660947,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-02 16:00:00+00:00,0.9448463251880965,0.005823493558660947,1,1,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-05 21:00:00+00:00,0.19561674286847036,-0.0007459063193576863,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-05 21:00:00+00:00,0.19561674286847036,-0.0007459063193576863,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-10 17:00:00+00:00,0.6677089822670188,0.012496134022247678,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-10 17:00:00+00:00,0.6677089822670188,0.012496134022247678,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-14 01:00:00+00:00,0.14794156704593253,-9.338707388108474e-05,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-14 01:00:00+00:00,0.14794156704593253,-9.338707388108474e-05,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-16 07:00:00+00:00,0.8794420926362718,0.004058601390080169,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-16 07:00:00+00:00,0.8794420926362718,0.004058601390080169,1,1,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-24 04:00:00+00:00,0.778420851588867,0.002442880292485167,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-24 04:00:00+00:00,0.778420851588867,0.002442880292485167,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-27 00:00:00+00:00,0.8578389567363058,0.00013246262169773221,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-03-27 00:00:00+00:00,0.8578389567363058,0.00013246262169773221,1,1,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-08 00:00:00+00:00,0.891285292082122,0.0029060557308889625,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-08 00:00:00+00:00,0.891285292082122,0.0029060557308889625,1,1,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-15 03:00:00+00:00,0.14023596105146333,-0.0012792438384800096,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-15 03:00:00+00:00,0.14023596105146333,-0.0012792438384800096,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-22 10:00:00+00:00,0.23224743395238426,-0.0013318960197536032,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-22 10:00:00+00:00,0.23224743395238426,-0.0013318960197536032,0,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-26 05:00:00+00:00,0.7814398766860038,0.002616864276291914,1,0,0.8349192327212152
AUDUSD,2,train,logistic_primary,2020-04-26 05:00:00+00:00,0.7814398766860038,0.002616864276291914,1,1,0.8349192327212152
AUDUSD,3,test,logistic_primary,2020-06-09 00:00:00+00:00,0.7953341983192569,-0.0007166377249612386,0,1,0.8585457629506835
AUDUSD,3,test,logistic_primary,2020-06-16 20:00:00+00:00,0.08610220336024578,-0.0011804919193233619,0,1,0.8585457629506835
AUDUSD,3,test,logistic_primary,2020-06-19 04:00:00+00:00,0.9533631098978236,-0.0013372122611567004,0,1,0.8585457629506835
AUDUSD,3,train,logistic_primary,2020-03-10 17:00:00+00:00,0.9572951128204868,0.012496134022247678,1,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-10 17:00:00+00:00,0.9572951128204868,0.012496134022247678,1,1,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-14 01:00:00+00:00,0.1877903642450783,-9.338707388108474e-05,0,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-14 01:00:00+00:00,0.1877903642450783,-9.338707388108474e-05,0,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-16 07:00:00+00:00,0.7425069047144305,0.004058601390080169,1,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-16 07:00:00+00:00,0.7425069047144305,0.004058601390080169,1,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-24 04:00:00+00:00,0.9578317346118672,0.002442880292485167,1,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-24 04:00:00+00:00,0.9578317346118672,0.002442880292485167,1,1,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-27 00:00:00+00:00,0.5721013431200125,0.00013246262169773221,1,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-03-27 00:00:00+00:00,0.5721013431200125,0.00013246262169773221,1,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-04-08 00:00:00+00:00,0.8634152428677714,0.0029060557308889625,1,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-04-08 00:00:00+00:00,0.8634152428677714,0.0029060557308889625,1,1,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-04-15 03:00:00+00:00,0.28621769523789736,-0.0012792438384800096,0,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-04-15 03:00:00+00:00,0.28621769523789736,-0.0012792438384800096,0,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-04-22 10:00:00+00:00,0.06279587231471018,-0.0013318960197536032,0,0,0.8441450592975358
AUDUSD,3,train,logistic_primary,2020-04-22 10:00:00+00:00,0.06279587231471018,-0.0013318960197536032,0,0,0.8441450592975358
